Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Brooklyn Heights/Fort Greene,2013.0,0.32194,0.0178197064989518,0.143605870020964,62190.0,108014.642121534,65554.5955854582,0.264,0.0210931,0.187658,130954.0,0.0874964,0.265383,0.167341,0.436581,12.0,12,3551.0,6.1,5358.0,4.7,91088.0,89.5,210.5,5.0,339.6,54.8,58.2,24.8,43.8,49.0,45.9,28.2,22.2,50.4,3.3,6.5,4.8,2.6,3.4,6.0,2690244.34165392,902508.7882534561,22.9579288675628,0.312803889789303,0.37037037037037,0.9435549313358301,0.9736579275905121,12.0,20.0,4.7,8.9,10.600000000000001,32.3,21.8,17.0,3173.9473905983796,192.70762540025294,5.279956340683055,48.0,1836.0,4974.0,302.0,96582.0,156713.4,33.0,39.0,117.0,456.0,
Bedford Stuyvesant,2013.0,0.209523,0.25,0.78021978021978,56353.0,112726.032410165,30994.811145764,0.343,0.098907,0.373696,143629.0,0.0201282,0.558675,0.184977,0.22249,13.0,13,4417.0,8.5,5014.0,4.7,74790.0,80.7,161.0,7.0,310.6,49.2,55.6,23.6,42.0,70.4,53.0,27.0,30.4,57.4,4.3,4.2,4.1,3.4,2.2,5.2,460804.22881794797,531656.208509031,21.172010327809897,0.16588566073102198,0.235840297121634,0.8767133404230177,0.9419384379061799,57.0,30.999999999999996,11.299999999999999,9.6,8.899999999999999,65.2,31.3,29.400000000000002,3601.317483274386,146.77277968676614,7.202087970018499,68.0,298.0,3607.0,147.0,50523.0,100157.76000000001,30.0,26.0,206.0,588.0,
Bushwick,2013.0,0.139663,0.452173913043478,0.91304347826087,49280.0,66978.0278391017,43837.6647276635,0.327,0.0594439,0.250322,145795.0,0.0508454,0.183696,0.627429,0.12912,14.0,14,5335.0,11.6,4743.0,4.4,61859.0,69.3,176.9,6.4,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4,308978.558051341,388929.423555384,17.1884155761138,0.144463667820069,0.198810535259133,0.979316726690676,0.765256102440976,30.999999999999996,22.0,7.200000000000001,8.3,13.7,38.8,32.4,26.0,4560.364940051601,215.53959718735874,9.426786903903636,20.0,38.0,5903.0,279.0,63133.0,129441.32,20.0,30.0,92.0,374.0,
East New York/Starrett City,2013.0,0.220802,0.711822660098522,0.512315270935961,59607.0,68017.90050344,34692.9648526474,0.327,0.1315754,0.293489,158183.0,0.0422612,0.543067,0.351928,0.0358382,15.0,15,7798.0,14.3,8422.0,7.2,79236.0,78.6,165.5,8.2,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2,302585.89822958905,237061.13505663202,20.8479135683667,0.16287015945330302,0.21320649132624503,0.7123246745078311,0.8535756965846912,13.000000000000002,30.000000000000004,10.200000000000001,11.8,25.7,82.60000000000001,52.60000000000001,52.80000000000001,6025.90600041411,301.664949004794,13.419422955042842,325.0,80.0,23032.0,1153.0,174826.0,382216.31999999995,105.0,230.0,755.0,3010.0,
Park Slope/Carroll Gardens,2013.0,0.361336,0.0074074074074074,0.0,53560.0,161514.812169776,88181.415024549,0.252,0.0104332,0.109065,116339.0,0.0622061,0.0501637,0.190177,0.649868,16.0,16,2458.0,5.0,3865.0,4.1,80534.0,91.5,162.5,3.6,265.5,50.0,38.4,21.8,46.5,45.0,45.6,22.8,16.8,39.6,6.0,6.0,6.1,3.2,3.0,6.2,2024342.2768880897,878990.725490883,12.997927589796499,0.5588547189819719,0.610294117647059,0.910339346443886,0.854779683572379,12.0,10.0,2.3,,10.8,24.0,20.6,14.5,2753.2440793076703,89.72035564807804,5.014517724133418,42.0,830.0,2946.0,96.0,58890.0,107001.0,0.0,22.0,48.0,244.0,
Sunset Park,2013.0,0.254606,0.0304568527918782,0.451530612244898,49103.0,78850.2625713985,42641.1718976923,0.358,0.0319075,0.30739,154422.0,0.323943,0.0316082,0.438823,0.186431,17.0,17,8963.0,19.7,5259.0,4.7,60941.0,59.8,261.5,10.6,267.9,40.8,49.8,20.4,39.0,67.3,50.7,25.2,35.0,60.2,6.6,6.1,6.4,5.0,4.4,9.4,863009.0759365029,442158.971004505,9.165808444902158,0.290964777947933,0.403874813710879,0.9439329930893021,0.7753412615076549,45.0,8.999999999999998,3.1,10.999999999999998,17.0,19.1,20.1,14.099999999999998,5834.326836253247,196.4195560752944,12.891469203294735,100.0,676.0,14198.0,478.0,112066.0,243352.98,60.0,76.0,104.0,516.0,
North Crown Heights/Prospect Heights,2013.0,0.195678,0.118090452261307,0.439698492462312,56829.0,84748.5567002683,35136.1892669556,0.335,0.0622883,0.273087,127050.0,0.0376072,0.571657,0.124258,0.221377,18.0,18,3084.0,5.8,4686.0,4.5,77780.0,83.8,230.2,7.0,293.7,52.0,55.8,24.8,40.9,45.7,37.5,27.4,20.0,47.4,4.0,5.7,4.8,2.8,3.0,5.8,599311.858289239,585993.816993922,18.3352886821641,0.229613733905579,0.259023354564756,0.982119996586157,0.767474609541692,25.0,28.0,9.5,,23.6,69.2,40.7,36.6,4882.26,246.13,10.73,10.0,158.0,3154.0,159.0,29690.0,64601.26,0.0,22.0,70.0,253.0,
South Crown Heights,2013.0,0.166241,0.155038759689922,0.813953488372093,42963.0,91572.7210599884,43225.0348280789,0.318,0.0384363,0.20023,103822.0,0.0166631,0.70904,0.0882953,0.164888,19.0,19,4004.0,9.6,3445.0,4.0,65455.0,86.0,150.7,4.2,291.0,43.4,58.0,16.8,28.5,52.4,38.7,19.8,23.0,42.8,3.2,7.3,5.1,2.2,3.8,6.0,831045.776827744,559357.734403289,16.875107945829,0.152487961476726,0.248025276461295,0.904834030755012,0.70454137036942,21.0,22.000000000000004,6.4,,16.5,62.3,19.3,19.8,4188.57,262.55,8.89,31.0,37.0,2409.0,151.0,27231.0,57513.69,0.0,16.0,62.0,135.0,
Bay Ridge,2013.0,0.37889,0.0166666666666667,0.127083333333333,53649.0,93049.4254788131,50578.7245097008,0.297,0.0146131,0.155037,127683.0,0.206942,0.0218353,0.163483,0.595107,20.0,20,5025.0,10.5,5819.0,5.8,74082.0,81.1,298.7,7.8,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6,761791.962092099,490103.919667644,7.76762978849877,0.39906976744186,0.574429223744292,0.743662394685981,0.597920927701574,20.0,8.0,1.7,8.7,10.7,16.8,15.4,15.700000000000001,5090.76,198.48,10.1,149.0,41.0,3437.0,134.0,34453.0,67514.44,11.0,16.0,21.0,163.0,
Bensonhurst,2013.0,0.357142,0.0255863539445629,0.663113006396588,67788.0,76656.514809234,43006.6189508357,0.331,0.0571179,0.161209,184907.0,0.3597,0.0118168,0.13138,0.479879,21.0,21,8615.0,13.5,10331.0,6.8,101318.0,73.7,203.5,8.4,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4,635536.9306124989,442158.97100450494,7.775537006610579,0.43320610687022887,0.6040765904879549,0.8651400259810877,0.4597746291652819,26.999999999999996,10.999999999999998,1.7,5.299999999999999,12.299999999999997,17.099999999999998,15.399999999999999,16.7,6221.143202910177,237.87468515550373,14.394869265698054,448.0,348.0,18438.0,705.0,129314.0,296376.31000000006,40.0,104.0,140.0,980.0,
Borough Park,2013.0,0.311435,0.0319488817891374,0.571884984025559,48744.0,75797.767506512,31606.3756020449,0.467,0.1164998,0.342546,161036.0,0.148538,0.0224981,0.121414,0.696323,22.0,22,9295.0,20.3,7641.0,7.3,69081.0,76.9,222.7,13.8,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8,734090.436197841,527394.4352945299,6.05595092537438,0.284524635669674,0.447771124417831,0.9145287784128668,0.396467499667686,18.0,10.0,1.4999999999999998,10.099999999999998,22.9,22.699999999999996,13.2,12.5,6162.90494459571,229.76863483352017,13.026279396837305,146.0,242.0,10112.0,377.0,78875.0,164078.45,38.0,80.0,84.0,284.0,
Coney Island,2013.0,0.31292,0.039344262295082,0.370491803278689,49037.0,68114.8558440699,21872.485580124,0.339,0.1476256,0.258113,106249.0,0.143145,0.121074,0.129093,0.57962,23.0,23,4394.0,9.6,11829.0,13.1,68009.0,81.8,244.0,6.0,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4,404868.455377619,531054.233042483,13.387291662670902,0.297619047619048,0.366959064327485,0.729082973225337,0.850035829840829,21.0,25.0,4.1,,15.1,51.5,26.2,35.6,6710.49,540.3,14.64,39.0,95.0,3105.0,250.0,21937.0,46270.81,0.0,17.0,54.0,280.0,
Flatbush,2013.0,0.22556,0.054726368159204,0.465174129353234,59094.0,83304.881023856,37260.6832143844,0.359,0.0599353,0.231458,157167.0,0.10506,0.33257,0.150763,0.397793,24.0,24,7947.0,13.8,7892.0,6.5,88044.0,82.6,207.8,9.2,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6,873663.508972757,391534.4324327481,11.402678882637101,0.320545609548167,0.39933993399339895,0.9465829270308241,0.297115940831336,21.0,17.0,3.8,8.9,16.1,32.2,17.8,18.800000000000004,6434.022510203133,328.5977235677937,12.927042643293921,224.0,76.0,11983.0,612.0,92278.0,186244.29,28.0,54.0,106.0,414.0,
Sheepshead Bay/Gravesend,2013.0,0.495066,0.0415913200723327,0.151898734177215,61755.0,79377.6570066931,33926.9111173408,0.353,0.0856047,0.158487,156346.0,0.177907,0.0228212,0.0718471,0.718215,25.0,25,5336.0,9.4,9125.0,7.6,91550.0,84.7,229.2,8.0,326.8,51.9,100.6,24.6,49.6,70.7,58.1,56.8,62.6,119.4,7.0,10.0,8.4,6.6,8.6,15.2,612629.899584555,415730.64985807904,10.2536799248356,0.40518038852914,0.518552036199095,0.58082788671024,0.6561002178649241,25.0,13.999999999999998,1.8999999999999997,10.2,13.2,14.399999999999999,17.000000000000004,21.0,6943.7089255563105,325.2370825291851,14.825924488909198,438.0,188.0,11230.0,526.0,76909.0,161729.09,32.0,54.0,48.0,518.0,
Chelsea/Clinton/Midtown,2014.0,0.208453,0.0,0.156934306569343,100770.0,141039.259143834,91019.8336817431,0.259,0.0208211,0.130274,149447.0,0.184259,0.0521924,0.128541,0.601712,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,1402753.5603937032,25.072244891670156,0.5291867996632706,0.6464287426380121,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,121.0,83079.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
Stuyvesant Town/Turtle Bay,2014.0,0.315132,0.0,0.0,94549.0,149683.929862045,101049.376232564,0.276,0.0151062,0.102332,143349.0,0.158731,0.0276388,0.0760801,0.695596,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,6046327.28739961,1203482.01398763,11.2508319030439,0.6772486772486769,0.723958333333333,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,15.0,1968.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
Upper West Side,2014.0,0.361692,0.0,0.0208530805687204,119681.0,166317.113345886,82903.0336241018,0.274,0.0222308,0.0835987,192374.0,0.0891285,0.0467371,0.158571,0.675003,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,8333416.304807289,1436397.05645006,8.857683993036291,0.6159793814432989,0.704081632653061,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,60.0,5262.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
Upper East Side,2014.0,0.341943,0.0,0.0,133288.0,184865.142393268,99583.5361910618,0.254,0.0129162,0.081178,221898.0,0.0976935,0.0198244,0.0940973,0.771521,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,7886513.853129922,1656167.90915728,8.644052382684613,0.6691266912669132,0.695284159613059,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,322.0,12110.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
Brownsville/Ocean Hill,2014.0,0.174479,0.64968152866242,0.936305732484076,48905.0,63284.5417630558,22499.6982553895,0.399,0.1226949,0.385895,123772.0,0.00903274,0.751503,0.214661,0.014761,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,286543.336663721,231863.50728202003,21.5455428597863,0.12330623306233099,0.12198391420911502,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,24.0,8.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
East Flatbush,2014.0,0.32348,0.523012552301255,0.489539748953975,55178.0,72371.9087922223,37425.188606233,0.364,0.044715,0.191812,137526.0,0.0206361,0.872722,0.0765746,0.0140119,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,397480.298197748,295481.385697268,14.5891840362765,0.268376068376068,0.251264755480607,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,91.0,10.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
Flatlands/Canarsie,2014.0,0.573135,0.339939024390244,0.0060975609756097,73782.0,88330.0066902356,41603.9894132114,0.333,0.0375952,0.129303,210957.0,0.0536934,0.620747,0.0816138,0.228464,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,483338.145678823,391696.854705453,12.1420046191286,0.341623036649215,0.418075422626788,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,915.0,114.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
Astoria,2014.0,0.165237,0.0218181818181818,0.247272727272727,82347.0,97118.7377281636,55018.4237097952,0.306,0.0058765,0.171292,182860.0,0.133342,0.0594553,0.31669,0.457465,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,683497.86727126,383810.34085232305,9.79566207058947,0.351257588898526,0.4557069846678021,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,318.0,672.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
Sunnyside/Woodside,2014.0,0.243593,0.0200803212851406,0.207317073170732,56749.0,79937.7044153249,56657.7670560658,0.344,0.0073585,0.158164,150100.0,0.327855,0.0134377,0.358115,0.277129,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,646063.214848403,680080.377934904,11.0070671378092,0.40732758620689696,0.5278069254984259,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,138.0,810.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
Jackson Heights,2014.0,0.30524,0.0602605863192182,0.522022838499184,60451.0,80137.4960996042,45233.888856012,0.371,0.0136639,0.170757,182354.0,0.184279,0.0488062,0.661866,0.0921175,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,562571.321523268,338462.88619682606,10.811535412878301,0.254845656855707,0.34497206703910605,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,273.0,210.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
Elmhurst/Corona,2014.0,0.236497,0.0393258426966292,0.707865168539326,48400.0,67766.1847019944,42728.0805210775,0.395,0.0170579,0.206051,154740.0,0.31551,0.0927104,0.495496,0.0751648,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,614096.545363717,314409.01894478,8.8297662777089,0.291090204759269,0.43121261555192997,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,50.0,91.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
Middle Village/Ridgewood,2014.0,0.444319,0.0790441176470588,0.121323529411765,66431.0,81586.5115782193,57220.3383775891,0.29,0.0262436,0.133942,168488.0,0.0981613,0.0138467,0.319245,0.553636,43.0,43,3647.0,5.9,5419.0,3.8,107276.0,84.0,180.4,7.4,285.7,45.6,82.2,27.8,53.7,63.7,57.9,57.0,52.4,109.4,6.2,5.0,5.6,6.2,4.4,10.6,567828.997425354,391791.49287168996,8.77711448667179,0.363735663571819,0.466594827586207,0.39661674062182894,0.543729460404961,15.0,15.0,2.4999999999999996,9.499999999999998,10.6,18.8,19.8,19.7,5641.816065019878,198.9812589411177,12.461253250548916,687.0,99.0,9952.0,351.0,81029.0,176397.13,48.0,54.0,93.0,690.0,
Rego Park/Forest Hills,2014.0,0.452315,0.0011402508551881,0.0661345496009122,54205.0,76443.4530107981,59406.4800176767,0.317,0.0159956,0.112426,107893.0,0.296275,0.024617,0.175665,0.484295,44.0,44,3634.0,7.0,6020.0,6.3,83010.0,92.0,230.2,4.6,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6,812310.926872382,463821.652730277,6.436688240020479,0.5234285714285709,0.638513513513513,0.80083450235603,0.735171396712348,5.0,8.0,1.0,,16.5,,13.4,16.1,5566.293396844637,286.70366964535674,11.341203961361352,324.0,322.0,6271.0,323.0,55838.0,112660.26000000001,0.0,40.0,0.0,290.0,
Flushing/Whitestone,2014.0,0.468421,0.005688282138794,0.214367160775371,97612.0,76987.0966990739,38040.3366867771,0.394,0.0078684,0.18822,256742.0,0.518299,0.0266922,0.162194,0.273041,45.0,45,8016.0,9.2,10058.0,4.9,146148.0,77.1,163.7,8.0,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4,741332.3021942131,447365.127156746,8.223032576792782,0.4652173913043481,0.6588013213780091,0.32102945078270106,0.707338816662245,6.000000000000001,8.0,1.6000000000000003,4.5,18.0,15.1,11.800000000000002,14.300000000000004,5222.323759824022,354.08939902016743,11.540882784519427,1852.0,2528.0,10147.0,688.0,89823.0,194300.52999999997,40.0,216.0,152.0,1140.0,
Hillcrest/Fresh Meadows,2014.0,0.449944,0.0245499181669394,0.0838815789473684,58323.0,81014.4764400722,46144.5183222534,0.355,0.0097927,0.144489,159330.0,0.321402,0.122262,0.214479,0.308649,46.0,46,5537.0,10.0,6244.0,4.8,97041.0,85.5,208.7,8.0,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6,676031.967490297,361624.000080698,7.253138504503431,0.46341463414634104,0.5960752248569089,0.28065039503386,0.7098088318284419,5.0,14.0,1.8999999999999997,,11.1,18.7,12.9,14.999999999999998,5953.577953438628,283.6578010208978,13.436069071503104,1550.0,500.0,12971.0,618.0,97516.0,217869.01,0.0,95.0,150.0,820.0,
Ozone Park/Woodhaven,2014.0,0.438927,0.190763052208835,0.242971887550201,49795.0,83179.5873765515,52934.2809822081,0.337,0.045577,0.144938,151202.0,0.282397,0.0520893,0.422415,0.177346,47.0,47,4348.0,9.7,5936.0,4.9,81466.0,77.8,203.1,7.8,268.2,41.1,55.2,21.6,35.1,59.4,45.3,25.6,32.8,58.4,5.6,6.4,5.9,3.8,4.0,7.8,430077.888790685,349109.679898551,10.417466176378198,0.353813559322034,0.532917532917533,0.908454085195531,0.46820443435754194,10.999999999999998,16.0,3.5,,22.399999999999995,33.39999999999999,19.499999999999996,16.199999999999996,6935.167857980462,282.8768743451976,14.878549074570191,531.0,99.0,6693.0,273.0,45872.0,96508.13,0.0,99.0,147.0,486.0,
South Ozone Park/Howard Beach,2014.0,0.635236,0.27151051625239,0.108986615678776,40748.0,77128.0024132498,42884.7592629597,0.412,0.0368982,0.157977,134827.0,0.196274,0.14147,0.26198,0.221313,48.0,48,3044.0,7.7,7382.0,6.7,73994.0,76.9,223.1,7.0,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4,436387.09987318906,255523.04884141,12.6311317363313,0.382481751824818,0.502877697841727,0.393896054143788,0.398467628655344,8.0,16.0,3.7,,9.800000000000002,38.20000000000001,22.9,22.5,6962.174759860871,238.82723730218052,15.93190808313191,2176.0,336.0,18074.0,620.0,115152.0,259602.84,0.0,104.0,368.0,1568.0,
Bayside/Little Neck,2014.0,0.708519,0.0052562417871222,0.0119047619047619,44839.0,90955.6900357376,60451.7059870115,0.291,0.0018232,0.0798575,120996.0,0.407848,0.0141658,0.0987553,0.455114,49.0,49,1467.0,3.4,4454.0,4.5,80671.0,88.8,251.6,6.2,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6,757105.3299004729,525189.2458594319,7.686956222999029,0.634377967711301,0.7933962264150939,0.20545073375262102,0.6865828092243189,5.0,5.0,1.0,,9.1,,10.6,13.0,4118.631010429971,178.05587461432785,9.224343922574512,3384.0,656.0,6870.0,297.0,74818.0,166802.95,0.0,80.0,0.0,928.0,
Jamaica,2014.0,0.48509,0.62905317769131,0.263294422827497,79676.0,80590.7077623641,37845.8026783999,0.374,0.0490609,0.15148,251002.0,0.125075,0.62337,0.153648,0.0193026,50.0,50,7163.0,10.1,10771.0,5.8,133121.0,80.9,157.2,9.6,284.9,40.9,111.0,33.6,35.5,50.3,41.0,49.8,46.0,95.8,3.0,4.7,3.7,3.8,4.8,8.6,347006.60953771695,184018.65657303197,16.2845975770077,0.22596630327056497,0.2876579203109819,0.4074489863303179,0.5874001188668029,19.999999999999996,21.999999999999993,7.799999999999999,,18.299999999999997,58.699999999999996,23.099999999999998,25.399999999999995,5938.39815190266,304.88796269004973,13.618239989770535,2192.0,20.0,10245.0,526.0,76422.0,172521.27000000002,0.0,180.0,540.0,1612.0,
Queens Village,2014.0,0.711674,0.422196796338673,0.017162471395881,63815.0,89879.9695461707,51764.973861584,0.335,0.029915,0.0866794,193102.0,0.15426,0.588326,0.0941316,0.118399,51.0,51,2877.0,4.8,8234.0,5.0,127658.0,87.8,143.3,6.6,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0,430603.656380894,,9.30045123626009,0.39239001189060607,0.4185908821788041,0.0911827603224215,0.3841092284915281,14.000000000000002,15.000000000000002,3.5000000000000004,,5.6,20.3,14.9,17.4,5850.4735908585435,260.37867523377963,13.754194718162978,5660.0,0.0,15279.0,680.0,113817.0,261158.37999999998,0.0,120.0,390.0,2400.0,
